,open,high,low,close,trades,volume,vwap,f-0,f-1,f-2,f-3,f-4,f-5,f-6,f-7,f-8,f-9,f-10,f-11,f-12,f-13,f-14,f-15,f-16,f-17,f-18,f-19,f-20,f-21,f-22,f-23,f-24,f-25,f-26,f-27,f-28,f-29,f-30,f-31,f-32,f-33,f-34,f-35,f-36,f-37,f-38,f-39,f-40,f-41,f-42,f-43,f-44,f-45,f-46,f-47,f-48,f-49,f-50,f-51,f-52,f-53,f-54,f-55,f-56,f-57,f-58,f-59,f-60,f-61,f-62,f-63,f-64,f-65,f-66,f-67,f-68,f-69,f-70,f-71,f-72,f-73,f-74,f-75,f-76,f-77,f-78,f-79,f-80,f-81,f-82,f-83,f-84,f-85,f-86,f-87,f-88,f-89,f-90,f-91,f-92,f-93,f-94,f-95,f-96,f-97,f-98,f-99,f-100,f-101,f-102,f-103,f-104,f-105,f-106,f-107,f-108,f-109,f-110,f-111,f-112,f-113,f-114,f-115,f-116,f-117,f-118,f-119,f-120,f-121,f-122,f-123,f-124,f-125,f-126,f-127,f-128,f-129,f-130,f-131,f-132,f-133,f-134,f-135,f-136,f-137,f-138
0,7259.5,7440.0,7235.5,7355.0,526550,2638019686,7332.4534,368399.583843949,1413036.26078668,932853.525412961,2229295.65642688,200322.300409717,842543.573369082,1860608.04220184,1896797.4035549,814098.815261228,4342902.17059369,2348876.21312619,0.0,0.471404267840665,0.342167957692812,0.293324179503467,0.183363395779353,27.7424100660059,3.221198961955816e-07,2483704.6759106973,160465.51709476,0.14398486216321513,126,539980,671.103174603175,452,957670.738095238,120666513,3779283.36377287,0.21909190713627913,0,232139,17249762.5,14900861.0520451,2641.66121444144,28893213385276500000000,22437968225206510000000,0.12034447339435479,3.52275233075602e-05,0.05603456567806861,1.3507993812284,66.33497288302026,43053310547012600000,0,0.0213567916569256,0.033886523027840676,1575.0,0.597467351662429,5472941.77228554,88074206911.5494,8.232562537186466e-07,127005033262.75128,16550,148928,123,726659,2466215,6391598,0.850196759259259,1.4420230135060892,0.832166716915244,25181059.4560318,0.30645905497189,320350,21842187,0.0035887679596895428,0.3229489776242316,25.361464868906356,30.428465313081436,-0.6283698295451421,5105.82142284854,11776791.7727012,0.704154896355032,2.6867939814814816,0.0297109523166132,36346448.9796848,61527508.4357166,0.004049426164400034,0.0150750042781124,1599.1065379,2295.85891103351,519.617944421236,120623590,0.135056254991933,76261,176677,203152,26717,48150,3414,811,15401,402,11,13662,3,0,1.00368823427772,1.00819556535984,81.95035789826329,1.2239326874283705,8943402447.71011,33198,41068,2.9475644602153,0.03245181,7948.277671751799,1.1489943690989608,38144.3150653473,4.02874639809095,0.04990192,935229.16010645,1.1223481235292465,46092.5927370991,0.142722988722079,0.449182043693969,56033865,596961,1.56932909627991,0.01022139,936828.26664435,13769584,42264281,0.754263176384495,564661,1.65630930176575,0.01349186,935253.26664435,0.039429899068094416,0.00010384527330608,2.688e-05,1575.0,24.1065379,0.4025409491467379,-0.049999999999999996,0.0,-0.15,1,0,1.000052694836536
1,7355.0,7387.0,6633.5,6689.0,769064,4657038172,7012.131,364789.986337009,1402422.02657679,946253.058152221,2243144.56332939,199420.661611677,840570.296994102,1781310.31392269,1897577.72284984,814761.497959478,4411679.51704279,2349453.90020809,0.0,0.472164698475588,0.342137979600868,0.293413256509706,0.183417757715056,27.6333225538666,3.6770649891705113e-07,2492840.5489647468,159974.76108243,0.14450066329146943,132,540112,668.431818181818,461,1008443.93181818,133114599,4601498.84089031,0.26673171491843406,0,246345,17251412.5,14901929.6447501,2642.48958292556,28893213385276500000000,22528738542981288000000,0.11966655388155309,4.86408104904758e-05,0.06767799318967543,2.15400965176023,52.84224159427986,43225371084021900000,0,0.0211455141042514,0.035524969998893985,1650.0,0.597348164366853,6602085.91007291,88026149603.814,7.614374813706998e-07,117634453057.95428,16524,149021,123,726550,2463812,6372964,0.975983796296296,1.336358043460956,0.635608022084734,-59828153.4265655,0.249439652619252,335508,21842551,-0.0721147581050301,0.2709186168143385,23.78216063916009,28.234928477619622,-0.6558220608954806,5102.547377138771,10649297.6349108,0.719749096000401,2.851215277777778,0.029712197164244,95644338.1683388,35816184.7417733,0.003945522255711099,0.0189242521972923,1681.82732444,2232.9406693209,540.095065862904,133049719,0.15138297385172,92561,182953,216091,31306,61542,3910,1127,11421,1113,300,9102,10,0,0.991374635498677,0.981011594488489,81.48978233328444,1.1315309283956743,8955206955.80299,36578,48812,2.96269833270856,0.03523951,9143.953926885093,1.6007165644960524,58551.0104961366,3.9023672024747,0.05599299,961328.64849362,1.3868508650131461,67694.9644230217,0.18306536230038,0.432505014919631,56055526,633097,1.52111047093583,0.01063665,963010.47581806,16726586,39328940,0.701606831768914,611436,1.57229943251802,0.014958,961360.47582109,0.04204832416922556,0.000129198187379488,4.26e-05,1649.9999999999998,31.82732747,0.40608614019324785,-0.016666666666666663,0.1,0.0,0,1,0.9914304622969969
2,6689.0,6709.0,6181.0,6487.0,897103,4459083786,6414.3682,366585.122228279,1381537.72898795,936138.670988131,2253606.80165732,229857.596507487,843080.092455502,1778476.64249784,1897735.29164798,815158.339346108,4401320.09874184,2349762.15992485,0.0,0.472915244994981,0.342296265762342,0.293431370161703,0.18343869243881,28.8480793598742,4.159739734087942e-07,2508948.1654896867,162363.41075047,0.1454185566367967,150,540262,576.2,420,888037.206666667,133205581,6029029.75705042,0.34944237479671164,0,252111,17253287.5,14903497.7671991,2643.71269083584,28893213385276500000000,22619508860756070000000,0.11901641354687875,4.27918411559698e-05,0.062065145042411084,1.94202212718138,60.92318281327796,50144417537793300000,0,0.0212472621364641,0.040461326766088046,1875.0,0.597258553639909,7097270.43893639,87891214517.3751,7.291446474810463e-07,112810279277.15678,16499,148980,123,727175,2465432,6362388,0.716087962962963,1.2835216795741906,0.534727322052616,-147233096.588372,0.219639215147086,334727,21838105,-0.11458753813761313,0.2388178030760999,20.53820335874966,27.20087687544218,-0.6699726234875345,5094.1720247445655,10155988.1060465,0.73976054143746,2.917951388888889,0.0299394339949293,166639962.37877,19406865.7903979,0.0035590993241657472,0.0164141124772101,1906.2900594499997,2258.10957594018,528.13903003041,133149659,0.119389234483375,74773,192258,239396,41080,50280,3799,914,9790,346,524,13134,2,0,0.982404190637084,0.959663839128492,81.12443822714255,1.0824764353148575,8967329398.670467,36236,50416,3.35250888347276,0.03853721,16116.404374050107,2.1593497029403355,78246.195835746,5.0416317072658,0.06361398,1271050.81135049,1.8716796296770093,94362.6002097961,0.206045383900511,0.425684599047597,56075094,645864,1.9709367628633,0.01158628,1272957.10140994,18574935,37500159,0.668748928000014,626296,2.02952294348157,0.01363585,1271082.10141073,0.04868975063361524,0.00012411223722884,4.235e-05,1875.0,31.29006024,0.40150381938779733,-0.016666666666666663,0.1,0.0,0,1,0.9900129158013662
3,6487.0,6523.0,6323.5,6398.0,738884,2831018719,6427.5614,397828.355639439,1400218.17486484,906932.146305781,2263871.50343816,210753.257675017,842087.597733422,1761627.70655814,1898858.25467386,814696.683790308,4406914.19751641,2351370.66678791,0.0,0.473532072973605,0.342332600151992,0.293530603782308,0.183484957817939,47.2656784630752,3.2781608868574144e-07,2506999.587240846,160094.59864561,0.14528961723776376,152,540414,569.828947368421,421,889911.335526316,135266523,3673784.68224489,0.2129089980763692,0,230638,17255187.5,14903787.8781701,2644.14026213871,30147231142014300000000,22720076192255362000000,0.11883735325098745,3.96559793560702e-05,0.05609111322042481,1.56617324868864,69.04682381597375,52627800115779000000,0,0.0230555799894634,0.041007089204224245,1900.0,0.597127707433095,7456878.31812706,87841833033.9166,7.197626754035004e-07,111524169520.50877,16476,149001,123,728154,2469606,6357729,0.922488425925926,1.2696020297919808,0.50797930712906,-61616274.9247224,0.212317068903714,314381,21856598,-0.12550850018085158,0.23077895376182866,26.567820650586757,26.895657976284248,-0.6737710735071192,5090.749262151837,9798280.22685582,0.751850499728292,2.669421296296296,0.0317983052961882,80725852.410017,19109577.4852946,0.0035666528311764714,0.0144829254226847,1927.92194982,2257.97263474699,586.263863717161,135214725,0.11049653952522,70839,187185,232702,58459,48790,17965,2119,10483,657,883,11009,6,0,0.991327570775306,0.978199756368528,80.62088774760805,1.0688254042230565,8979662070.927341,33143,42609,2.83321175962667,0.03174457,-1940.9201808242942,1.6201131289595148,53695.4094331052,4.7005276156269,0.04995492,1084120.28821295,1.2146375003468963,51754.4892522809,0.211678409628217,0.423995478531931,56104650,670653,1.61938917765635,0.00864736,1086048.21016277,19363859,36740791,0.654861780618897,641097,1.6910829564992,0.00993488,1084148.21016277,0.03763951937013377,0.00012106396092578,3.742e-05,1899.9999999999998,27.92194982,0.39710727904060367,0.09999999999999999,0.3,0.0,0,1,0.9886840047644944
4,6398.0,6468.0,6100.0,6180.5,605433,2169153899,6303.5804,483376.828184109,1416847.40132801,885710.959058731,2273597.88983686,116996.611557787,840883.225057672,1762487.03353068,1902026.7765538,814740.855010478,4408712.48202353,2351653.48284164,0.0,0.474177006040282,0.342428170464309,0.293701266620884,0.183483969989216,22.5172171332674,3.0034065763238824e-07,2508187.018232006,160218.18872468,0.1453426397587658,150,540564,571.306666666667,436,710539.8,106580970,2445639.24011594,0.14171816554039485,0,204278,17257062.5,14905380.0621141,2644.13613709504,30147231142014300000000,22820643523754660000000,0.11869022367879908,3.11633809118418e-05,0.04991274056785308,0.939326627444734,100.63135913575573,52768911866389900000,0,0.0280103770954129,0.04045229964576924,1875.0,0.596954901878057,8110598.34557416,87814891670.2235,6.921304041833567e-07,107398122487.41135,16469,149025,123,728795,2472478,6368173,0.872025462962963,1.2230058073832162,0.418416643043462,-39011207.3911967,0.1822259443291,275730,21861571,-0.16973388306950787,0.19987878840018725,36.572569792232336,26.168489920452178,-0.685874661841885,5088.634967290841,9146435.19940872,0.733746863395034,2.3643287037037037,0.0377762592222905,46774551.2405334,7763343.84933679,0.003521433236244235,0.00993726019988417,1893.8193759099997,2186.23265863541,521.493009526226,106529549,0.120084583230883,61048,164866,180343,35149,50993,2561,1187,5980,322,7,5919,0,0,0.991599917398768,0.977606374367799,80.0751822920781,1.025510288075197,8991701677.941765,26871,32142,2.32681962356357,0.0278,1192.4494266323018,0.8744682038297719,23497.8351051098,3.50976902960479,0.04106327,716968.59782961,0.768162669769837,24690.2845317421,0.237132554417251,0.419358498746351,56127621,531346,1.3529083068387,0.00999322,718862.41720552,21130270,34997351,0.623531701085282,508375,1.41035144766269,0.00998564,716987.41720552,0.027342896757897237,9.21262980350307e-05,2.771e-05,1875.0,18.81937591,0.3928908036129274,0.15,0.45,0.0,0,1,0.9874385007551194
5,6180.5,6483.5,6140.0,6240.0,471979,1849595765,6305.1702,456051.870327499,1411405.23612931,877359.838222101,2280812.91646962,148519.953453157,835115.138469742,1744311.1011626,1907630.47758032,814471.238151467,4431404.7272894,2351988.54772807,0.0,0.474533337103256,0.342382013078854,0.293995067150645,0.183466101122275,23.0537094119259,5.341815572629239e-07,2508360.1609900654,160368.71038862,0.14533551349665194,163,540727,533.662576687117,354,616029.116564417,100412746,3973279.75324331,0.230213612137557,0,188749,17259100.0,14907082.4972301,2644.6785759165,30147231142014300000000,22921210855253955000000,0.11854654818887869,2.91287285906914e-05,0.04763748651310083,0.87511439305014,111.91278984927148,56491184615498100000,0,0.0264238500459177,0.044028767628172316,2037.5,0.596771025837275,8010546.42035484,87790676146.9294,7.000652156596505e-07,108798026505.78127,16481,149049,123,728959,2473176,6374600,1.13760416666667,1.2392890826321155,0.450241847287976,-37303326.0392384,0.192331070240379,250634,21871568,-0.15178662798327935,0.2109899622385516,40.047557698055265,26.80699461180447,-0.681817694313682,5086.631176998187,9248524.62462804,0.785486407547517,2.1845949074074076,0.0353351248974256,56587322.4674326,19283996.4281942,0.0034648318640622755,0.00893552918613538,2055.8702889700003,2162.92960751051,531.694117584742,100356733,0.158887187084139,75936,145527,161052,14923,62117,2057,785,7022,584,128,7785,8,0,0.991855722383761,0.980021966125471,79.66816984044036,1.0394293281183937,9004598920.245039,27670,32826,2.30376387068413,0.02660333,178.78883667300033,1.0507253555519445,29073.5705881223,3.80405059223132,0.04188337,718010.74523307,0.8911338397853927,29252.3594247953,0.228251257477499,0.420582327717878,56145358,495661,1.45274010971622,0.0095272,720066.61552204,20768708,35376650,0.630090380757747,477924,1.50239183535885,0.00997745,718029.11552204,0.024970311736352415,9.73265499154962e-05,2.734e-05,2037.5,18.37028897,0.4556885892940331,0.15,0.0,0.0,0,0,1.045696744847058
6,6240.0,6385.0,6223.0,6300.0,510657,1952781855,6282.9857,412002.404067119,1410925.21270511,877107.783152881,2285856.24423278,199911.357344777,834120.447048482,1733208.27141201,1905352.1402997,816075.886358847,4433656.23536788,2352542.5629937,0.0,0.474714567972817,0.342283979609875,0.293959391461838,0.18357322627096,24.9896998984455,6.133090721383342e-07,2507910.914287447,160374.63056378,0.1452952777668717,135,540862,630.866666666667,457,899061.755555556,121373337,6219599.75723661,0.36033117012978755,0,222731,17260787.5,14908216.7568041,2646.15453413787,30147231142014300000000,23021778186753246000000,0.11840626501845604,2.65632730539039e-05,0.04918990906870647,0.982575470263904,85.4799957515198,47787009101787400000,0,0.0238692703949411,0.03632672108565527,1687.5,0.596643104739448,7868174.19434204,87747730180.6296,7.021081098031847e-07,109255553277.37065,16493,148611,123,728437,2473268,6367090,1.10679398148148,1.2451097373398377,0.458861181092632,-53524505.3769552,0.197140923301497,301398,21867739,-0.14563634936957492,0.212818611854926,29.37907803587716,27.115452879043584,-0.6805108847438124,5083.645817470935,9392584.35064084,0.64985320666699,2.5779050925925926,0.0314131795944157,85106320.3245349,31581814.9475797,0.0034560715012772287,0.0116986435388565,1707.4751430499998,2138.19086473992,544.724385020479,121327007,0.171050013787037,98012,167996,195815,45433,45972,2082,608,7514,1048,215,8307,0,0,0.990256032534068,0.977613730608063,79.38303771462097,1.0420775462450793,9015273887.51334,31206,39673,2.65334564658843,0.03313539,-443.2812200979024,1.2074659140965327,37680.1813152964,3.859739366129,0.05243948,859683.60875727,0.9385955207621934,37236.9000951985,0.22378047181755,0.420921395119047,56148123,575767,1.4960758152175,0.01011986,861391.08390032,20483512,35664611,0.63518794742257,573002,1.50035005794102,0.0108718,859703.58390032,0.03403782783036348,8.96828149202401e-05,1.813e-05,1687.5000000000002,19.97514305,0.45018769406144454,0.15,0.0,0.0,0,0,1.0464327877955064
7,6300.0,6434.5,6140.0,6278.5,553513,2208501033,6280.618,411132.417991489,1374468.81940228,904694.468587741,2306623.02454956,194330.080575317,832764.037302423,1753037.20445188,1902578.46019025,818767.540361027,4411072.26375337,2353052.72781795,0.0,0.475815322198678,0.342195258850593,0.293954179907898,0.183739961255949,27.3823229896047,7.688021454983422e-07,2508142.6361634363,159593.91305966,0.14529386655873183,141,541003,621.808510638298,405,941821.382978723,132796815,8464093.89520342,0.49031538765729404,1,237430,17262550.0,14909468.3171361,2647.95060993307,30147231142014300000000,23122345518252540000000,0.11826931351043211,2.88990995353069e-05,0.04712692932218939,1.09686532286257,76.72599041930495,48483143325052900000,0,0.0238164360416908,0.037967488869307786,1762.5,0.596649768991224,7916218.17022838,87666604732.5246,7.006743943161925e-07,109178553727.0266,16495,148679,123,728623,2473810,6352947,1.6005787037037,1.2453836219634156,0.460740362228847,-92297513.5176876,0.196240170839868,320983,21852743,-0.14397583438908823,0.2132271773511054,27.067242454255815,27.239333203456262,-0.680768646398366,5078.427273637128,9346302.8747545,0.679745255663849,2.7480324074074076,0.0304744302452738,119840021.348829,27542507.8311411,0.003452621465824863,0.013033393176615,1785.7747038399998,2040.09312067275,559.108086593941,132749033,0.138141044410404,89640,178831,212683,65252,76748,2245,3268,9227,259,62,10673,14,0,0.9844074114334,0.959976099194602,79.03564319902584,1.0392950556719427,9026432538.743395,31517,41018,2.71530485503904,0.03332396,238.2694479622005,1.2454374385057587,39252.451749386,3.87762687246676,0.05256128,920664.94832979,0.9627656442866107,39490.7211973482,0.224186708178504,0.420426879018372,56105385,606164,1.52178407664202,0.01012463,922450.72303363,20561388,35543997,0.633522022886038,648902,1.41884016852102,0.01028951,920688.22303363,0.036945026878523746,9.80276453691614e-05,2.288e-05,1762.4999999999995,23.27470384,0.44490107721142746,0.0,0.0,0.0,0,0,1.0471228280596763
8,6278.5,6345.5,6181.0,6322.0,512266,1947768858,6262.9173,424416.130050089,1380013.04471012,907015.697095601,2316256.62697139,188723.721418257,832922.456473762,1719830.9702741,1902157.88146428,819573.178151207,4420269.32875623,2353442.00961756,0.0,0.476369468983025,0.342207662808483,0.293963275782185,0.183786823814481,27.2490240758916,5.325856488067287e-07,2508427.532908056,156467.39336835,0.1452926953577429,168,541171,512.904761904762,358,709051.160714286,119120595,5582102.86810576,0.323325573823145,0,233107,17264650.0,14911179.0353401,2648.9198422317,30147231142014300000000,23222912849751835000000,0.11813563409307125,3.85327145377452e-05,0.06309433690977416,1.50886403586903,88.81315238533966,58777444432485400000,0,0.0245829559272901,0.045394553531924675,2100.0,0.596537688797877,7621725.1293949,87618477435.5507,7.036416552159994e-07,109815206547.05942,16485,148659,123,728453,2473223,6355292,0.644641203703704,1.2533338830024283,0.472246054765276,-61413934.027904,0.201661163580735,312198,21863489,-0.13689187097868172,0.21680538209168032,28.438532445628898,27.56418609473368,-0.6789461692401805,5075.021934157408,9642895.91558729,0.805870929139513,2.697997685185185,0.0309196585639258,73039006.3307373,11625072.3028333,0.0034342817063772813,0.0112595932540849,2123.91441231,2023.00652089745,510.739797603678,119057022,0.127595646059354,71131,187356,209678,18511,41476,2660,1069,9403,474,35,15676,3,0,0.988989298236816,0.974275144764566,78.76729353435401,1.0426859364999603,9039682201.7415,30908,42234,2.63199973414232,0.03318378,291.66584698910447,1.334882978016232,41258.5630845257,3.75102551259066,0.05054992,874390.30416345,0.9838099382373159,41550.2289315148,0.219459441086061,0.421120604666796,56140680,592767,1.47868254908901,0.01027777,876514.21857584,19941195,36199485,0.644799546425159,557472,1.5685347758749,0.01198191,874414.21857653,0.03516355852440281,0.00010258985392974,2.712e-05,2099.9999999999995,23.91441308,0.4477538686655225,0.0,0.0,0.0,1,0,1.0548799237515356
9,6322.0,6530.0,6321.5,6487.5,606832,2595041422,6439.5647,437005.402499329,1378873.61537009,874757.337414591,2317828.55250182,263798.967905407,833193.780820782,1724609.6615632,1902495.5596694,819420.919123088,4362391.31700503,2352095.93110906,0.0,0.476357961556988,0.342119490963542,0.293864559111655,0.183680355036172,25.3654830088162,1.4416798283864105e-06,2513129.2080354756,156368.85206443,0.14554942854866218,148,541319,584.898648648649,428,819058.952702703,121220725,18944720.8184405,1.0971951940717863,1,234061,17266500.0,14914377.9569121,2655.85316341053,30147231142014300000000,23323480181251130000000,0.11800516826008955,3.19076071298371e-05,0.05728833741012954,1.16284083423978,92.14181501720955,51542658222354500000,0,0.0253094374945315,0.039880107675390075,1850.0,0.596557387338665,6771372.941154,87541429883.4642,7.204488409255775e-07,112598960616.75406,16491,148780,124,728620,2472536,6355204,0.760231481481481,1.2862362514142918,0.53624786534184,-89073678.2414287,0.222290137717185,315948,21867424,-0.10550401716677427,0.23883541738847636,22.687635610628906,28.24316931320919,-0.6708429051370453,5070.015920045417,10495098.1038274,0.726864697511998,2.709039351851852,0.0317293088213833,188086105.357305,99012427.1158763,0.00350948114949982,0.010852835499586,1870.29803693,2310.15097441818,517.662737491519,121164658,0.153760092029489,87682,186445,208947,22345,43252,2235,775,7933,1946,78,8595,19,0,0.987838368341098,0.971935017519228,78.50772687920414,1.0669202174495926,9051632678.362022,30986,39353,3.27371362894113,0.03394728,4707.861614363399,1.369343029592897,42430.4631149655,4.78123232928906,0.05178877,1119100.02022572,1.1978330681099,47138.3247293289,0.201970033627931,0.424260171345116,56166329,595901,1.88113515208507,0.01028928,1120970.31826265,18042773,38123556,0.678761754217549,570252,1.962501347235,0.01120542,1119120.31826345,0.04407687152430777,8.6721144188908e-05,1.87e-05,1849.9999999999995,20.29803773,0.5098378649625043,-0.016666666666666666,0.0,-0.05,1,0,0.9980129724302381
